id,Decision,Driving_to,Passanger,Weather,Temperature,Time,Coupon,Coupon_validity,Gender,Age,Maritalstatus,Children,Education,Occupation,Income,Bar,Coffeehouse,Carryaway,Restaurantlessthan20,Restaurant20to50,Direction_same,Distance
26,1,No Urgent Place,Kid(s),Sunny,55,6PM,Restaurant(<20),2h,Male,31,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,0,0,2,2,2,0,2
27,0,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$87500 - $99999,0,1,2,2,1,0,2
28,0,No Urgent Place,Alone,Sunny,55,6PM,Coffee House,2h,Male,41,Single,0,Some college - no degree,Arts Design Entertainment Sports & Media,$12500 - $24999,0,0,2,2,0,0,1
29,0,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,41,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,0,0,3,2,1,0,2
30,0,Work,Alone,Sunny,80,7AM,Restaurant(<20),2h,Male,21,Single,0,Bachelors degree,Student,$37500 - $49999,1,2,3,2,1,1,1
31,1,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Management,$25000 - $37499,3,4,4,3,1,1,1
32,0,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,21,Single,0,Some college - no degree,Student,Less than $12500,4,4,2,1,0,1,1
33,0,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Female,26,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,0,0,2,1,1,0,1
34,0,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,50plus,Widowed,0,Some college - no degree,Construction & Extraction,Less than $12500,0,0,1,2,1,0,2
35,1,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),2h,Female,41,Married partner,1,Associates degree,Education&Training&Library,$62500 - $74999,0,1,1,1,1,0,2
36,1,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,50plus,Married partner,1,Bachelors degree,Life Physical Social Science,$50000 - $62499,1,0,3,1,1,0,1
37,1,Home,Alone,Sunny,55,6PM,Bar,1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,1,3,3,2,1,1,1
38,1,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,36,Married partner,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,1,0,3,3,0,0,3
39,1,No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,21,Single,0,Some college - no degree,Life Physical Social Science,Less than $12500,1,2,3,4,1,0,1
40,0,Work,Alone,Sunny,55,7AM,Coffee House,1d,Male,21,Unmarried partner,0,Some college - no degree,Education&Training&Library,$25000 - $37499,3,1,2,1,0,0,2
41,0,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,31,Unmarried partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,0,2,3,2,2,0,2
42,1,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,1d,Female,below21,Single,0,Some college - no degree,Healthcare Support,Less than $12500,0,2,1,3,1,0,1
43,0,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,1,4,3,4,1,0,1
44,1,Home,Kid(s),Sunny,55,6PM,Restaurant(20-50),1d,Male,36,Married partner,1,Bachelors degree,Sales & Related,$62500 - $74999,0,0,1,2,2,0,3
45,0,No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Male,50plus,Married partner,1,Bachelors degree,Retired,$87500 - $99999,0,0,1,2,1,0,2
46,1,No Urgent Place,Partner,Rainy,55,10AM,Carry out & Take away,2h,Male,26,Married partner,0,Associates degree,Building & Grounds Cleaning & Maintenance,$37500 - $49999,1,1,2,2,1,0,1
47,0,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,36,Single,0,Some college - no degree,Sales & Related,$50000 - $62499,0,0,1,3,1,0,2
48,1,Home,Partner,Rainy,55,6PM,Coffee House,1d,Female,50plus,Married partner,0,Bachelors degree,Sales & Related,$50000 - $62499,2,3,1,2,1,1,1
49,0,Work,Alone,Rainy,55,7AM,Carry out & Take away,1d,Male,41,Divorced,1,High School Graduate,Sales & Related,$12500 - $24999,0,1,1,2,3,0,1
50,0,Work,Alone,Snowy,30,7AM,Bar,1d,Female,41,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$87500 - $99999,2,2,3,3,2,0,3
51,1,Work,Alone,Sunny,55,7AM,Coffee House,1d,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Unemployed,$12500 - $24999,0,3,2,2,0,0,3
52,1,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,21,Unmarried partner,0,Bachelors degree,Business & Financial,$75000 - $87499,2,1,3,2,2,1,1
53,0,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,1d,Female,36,Married partner,1,Some college - no degree,Computer & Mathematical,$25000 - $37499,0,0,2,1,0,0,2
54,1,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,1d,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Education&Training&Library,$37500 - $49999,0,2,2,2,1,0,1
55,1,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,41,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,0,0,3,2,1,0,2
56,1,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,26,Single,0,Some college - no degree,Food Preparation & Serving Related,$25000 - $37499,2,2,2,2,1,0,1
57,1,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$25000 - $37499,1,2,2,2,2,0,2
58,0,Home,Alone,Sunny,80,10PM,Bar,1d,Female,26,Single,0,Bachelors degree,Education&Training&Library,$50000 - $62499,2,0,3,2,1,1,2
59,1,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$50000 - $62499,4,2,,3,1,1,1
60,1,Work,Alone,Snowy,30,7AM,Coffee House,1d,Male,31,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,0,0,2,2,2,1,1
61,0,Home,Alone,Sunny,80,6PM,Coffee House,1d,Female,36,Unmarried partner,0,Graduate degree (Masters or Doctorate),Legal,$62500 - $74999,2,4,3,4,2,0,1
62,0,Work,Alone,Sunny,80,7AM,Coffee House,1d,Male,50plus,Married partner,1,Some college - no degree,Office & Administrative Support,$62500 - $74999,2,0,2,2,1,1,1
63,1,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,31,Married partner,1,Associates degree,Unemployed,$37500 - $49999,0,2,2,2,2,1,1
64,0,Work,Alone,Snowy,30,7AM,Restaurant(20-50),1d,Male,31,Single,1,Associates degree,Installation Maintenance & Repair,$37500 - $49999,2,3,2,2,1,0,3
65,1,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,below21,Single,0,High School Graduate,Unemployed,Less than $12500,0,0,3,3,0,0,3
66,1,Home,Alone,Sunny,55,10PM,Carry out & Take away,1d,Female,26,Single,1,High School Graduate,Unemployed,Less than $12500,1,1,3,2,0,0,3
67,1,No Urgent Place,Partner,Rainy,55,10AM,Carry out & Take away,2h,Female,26,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,2,1,,1,1,0,1
68,1,No Urgent Place,Alone,Sunny,80,10AM,Restaurant(<20),2h,Female,below21,Unmarried partner,0,High School Graduate,Student,Less than $12500,0,3,2,3,1,0,1
69,1,No Urgent Place,Alone,Sunny,55,10PM,Restaurant(20-50),1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,1,1,4,3,2,0,1
70,1,No Urgent Place,Friend(s),Sunny,30,10PM,Coffee House,1d,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Unemployed,$12500 - $24999,0,3,2,2,0,0,1
71,1,Home,Alone,Sunny,55,6PM,Restaurant(20-50),2h,Male,21,Single,0,High School Graduate,Unemployed,$25000 - $37499,1,2,3,2,1,0,2
72,1,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,2,1,3,2,3,0,1
73,0,No Urgent Place,Friend(s),Rainy,55,10PM,Bar,2h,Male,26,Single,0,Bachelors degree,Unemployed,$62500 - $74999,3,0,3,2,1,0,2
74,1,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,26,Single,0,Bachelors degree,Unemployed,$25000 - $37499,2,0,2,3,2,0,1
75,1,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),1d,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,1,1,3,4,4,0,2
76,1,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,1d,Male,21,Single,0,Bachelors degree,Computer & Mathematical,$12500 - $24999,1,2,4,4,2,0,1
77,0,Work,Alone,Sunny,30,7AM,Bar,1d,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,1,1,3,4,4,1,2
78,0,Home,Alone,Snowy,30,10PM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$37500 - $49999,1,,2,2,2,0,2
79,0,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,31,Married partner,0,Bachelors degree,Sales & Related,$75000 - $87499,2,2,3,3,3,0,1
80,1,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,36,Single,0,Some college - no degree,Sales & Related,$50000 - $62499,0,0,1,3,1,0,2
81,0,Work,Alone,Sunny,80,7AM,Coffee House,2h,Male,26,Single,0,Associates degree,Management,$37500 - $49999,3,2,3,2,1,1,2
82,1,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),2h,Female,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,0,1,2,4,4,0,2
83,1,Home,Alone,Sunny,30,6PM,Carry out & Take away,2h,Female,36,Married partner,1,Associates degree,Healthcare Practitioners & Technical,$75000 - $87499,1,0,3,2,1,1,2
84,1,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,0,2,4,2,2,0,1
85,0,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,26,Single,1,Some college - no degree,Office & Administrative Support,$37500 - $49999,2,0,2,2,2,1,2
86,1,Home,Alone,Sunny,80,6PM,Carry out & Take away,1d,Female,21,Unmarried partner,0,Bachelors degree,Community & Social Services,$62500 - $74999,1,0,2,1,0,0,1
87,0,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,1,3,4,2,1,1,1
88,0,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,4,4,4,4,4,0,3
89,1,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,26,Single,0,Associates degree,Unemployed,Less than $12500,1,0,2,1,1,0,2
90,0,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Sales & Related,$100000 or More,1,0,4,2,1,0,3
91,1,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,31,Single,0,High School Graduate,Computer & Mathematical,$25000 - $37499,1,0,2,1,0,0,2
92,1,Work,Alone,Sunny,80,7AM,Restaurant(<20),1d,Male,21,Unmarried partner,0,High School Graduate,Sales & Related,$37500 - $49999,0,1,3,3,1,1,1
93,0,Home,Alone,Rainy,55,6PM,Bar,1d,Female,50plus,Divorced,1,Some college - no degree,Unemployed,$37500 - $49999,0,0,3,2,1,0,3
94,1,Work,Alone,Sunny,80,7AM,Restaurant(<20),1d,Female,50plus,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$37500 - $49999,0,2,0,2,1,1,1
95,1,No Urgent Place,Kid(s),Rainy,55,10PM,Bar,1d,Female,21,Married partner,1,Some college - no degree,Student,$12500 - $24999,2,2,3,3,0,0,2
96,0,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Student,$37500 - $49999,1,2,3,2,1,1,1
97,1,No Urgent Place,Friend(s),Snowy,30,2PM,Restaurant(<20),1d,Female,36,Single,0,High School Graduate,Food Preparation & Serving Related,$12500 - $24999,1,1,2,1,1,0,1
98,1,Home,Alone,Snowy,30,10PM,Carry out & Take away,1d,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$75000 - $87499,4,1,4,3,0,0,3
99,0,No Urgent Place,Kid(s),Sunny,30,10PM,Restaurant(20-50),2h,Female,41,Married partner,1,Some college - no degree,Education&Training&Library,$100000 or More,0,4,4,4,3,0,1
100,0,Work,Alone,Rainy,55,7AM,Bar,1d,Male,41,Married partner,1,Bachelors degree,Arts Design Entertainment Sports & Media,$37500 - $49999,,1,2,3,2,0,3
101,1,No Urgent Place,Alone,Rainy,55,2PM,Carry out & Take away,2h,Female,50plus,Single,1,Bachelors degree,Food Preparation & Serving Related,$12500 - $24999,0,2,3,1,1,0,1
102,1,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,1d,Male,26,Single,0,Associates degree,Unemployed,Less than $12500,1,1,2,1,1,0,1
103,1,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,21,Unmarried partner,0,Some college - no degree,Student,$12500 - $24999,3,2,3,3,2,0,2
104,1,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Business & Financial,$100000 or More,0,3,2,3,2,0,2
105,1,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,1,3,2,2,1,0,1
106,0,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,36,Divorced,1,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,0,4,4,4,2,1,1
107,1,No Urgent Place,Alone,Sunny,80,10AM,Bar,1d,Female,26,Single,0,Bachelors degree,Unemployed,Less than $12500,3,2,4,3,2,0,1
108,1,Work,Alone,Sunny,55,7AM,Coffee House,1d,Male,41,Married partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$37500 - $49999,1,1,4,4,3,0,2
109,1,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,50plus,Single,0,Bachelors degree,Computer & Mathematical,$75000 - $87499,2,0,2,3,2,0,2
110,1,Home,Alone,Sunny,80,6PM,Carry out & Take away,1d,Male,26,Married partner,0,Graduate degree (Masters or Doctorate),Community & Social Services,$100000 or More,1,4,3,4,2,0,1
111,0,Home,Alone,Sunny,80,6PM,Bar,2h,Female,50plus,Single,0,Bachelors degree,Installation Maintenance & Repair,$25000 - $37499,0,3,3,4,1,1,1
112,0,Work,Alone,Rainy,55,7AM,Bar,1d,Female,46,Divorced,1,Bachelors degree,Office & Administrative Support,$25000 - $37499,0,2,2,2,2,0,3
113,1,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,50plus,Married partner,1,Bachelors degree,Life Physical Social Science,$50000 - $62499,1,0,3,1,1,0,2
114,0,Work,Alone,Sunny,55,7AM,Bar,1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,0,0,,3,2,0,3
115,0,Work,Alone,Snowy,30,7AM,Restaurant(<20),2h,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,1,1,4,3,2,0,3
116,0,Work,Alone,Sunny,30,7AM,Bar,1d,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,2,1,2,3,2,1,2
117,1,No Urgent Place,Friend(s),Snowy,30,10PM,Carry out & Take away,1d,Female,below21,Single,0,Some college - no degree,Healthcare Support,Less than $12500,0,2,1,3,1,0,2
118,1,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,1d,Male,46,Unmarried partner,0,Some college - no degree,Transportation & Material Moving,$12500 - $24999,0,1,2,1,1,0,1
119,1,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,31,Single,1,High School Graduate,Management,$50000 - $62499,4,4,4,4,4,0,2
120,1,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$50000 - $62499,0,1,2,2,0,0,2
121,0,Home,Alone,Sunny,80,10PM,Carry out & Take away,1d,Male,46,Married partner,1,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,0,0,1,3,2,1,1
122,1,No Urgent Place,Partner,Rainy,55,10AM,Carry out & Take away,2h,Male,26,Single,0,Bachelors degree,Food Preparation & Serving Related,$50000 - $62499,3,2,3,2,3,0,1
123,1,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,50plus,Single,0,Some college - no degree,Office & Administrative Support,$12500 - $24999,2,2,1,2,1,0,2
124,0,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),2h,Female,46,Married partner,1,Some college - no degree,Personal Care & Service,$37500 - $49999,0,1,1,2,1,0,1
125,1,Home,Alone,Sunny,80,6PM,Restaurant(20-50),1d,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,1,3,4,2,1,1,1
126,1,No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,21,Single,0,Some college - no degree,Student,$100000 or More,1,2,2,1,1,0,2
127,0,No Urgent Place,Friend(s),Rainy,55,10PM,Bar,2h,Female,36,Unmarried partner,0,Associates degree,Unemployed,$75000 - $87499,0,0,4,4,2,0,2
128,1,Work,Alone,Rainy,55,7AM,Carry out & Take away,1d,Female,21,Single,0,Bachelors degree,Student,$25000 - $37499,0,0,1,0,0,0,1
129,1,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,50plus,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,0,0,1,1,1,0,2
130,0,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,21,Unmarried partner,0,High School Graduate,Student,$37500 - $49999,0,2,2,3,0,0,2
131,0,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),2h,Male,41,Married partner,1,Associates degree,Farming Fishing & Forestry,$25000 - $37499,0,0,0,2,0,0,2
132,0,Home,Alone,Rainy,55,10PM,Coffee House,2h,Female,31,Single,0,Bachelors degree,Education&Training&Library,$25000 - $37499,1,3,1,3,2,1,1
133,1,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Architecture & Engineering,$100000 or More,1,2,2,4,0,0,1
134,1,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,46,Unmarried partner,0,Some college - no degree,Transportation & Material Moving,$12500 - $24999,0,1,2,1,1,0,3
135,1,No Urgent Place,Friend(s),Sunny,30,10PM,Coffee House,1d,Male,26,Married partner,1,Bachelors degree,Management,$50000 - $62499,0,1,1,2,1,0,1
136,0,No Urgent Place,Alone,Sunny,55,6PM,Coffee House,2h,Male,26,Married partner,0,Associates degree,Building & Grounds Cleaning & Maintenance,$37500 - $49999,1,1,2,2,1,0,1
137,0,Work,Alone,Sunny,55,7AM,Bar,1d,Male,50plus,Unmarried partner,0,Bachelors degree,Retired,$100000 or More,0,0,2,4,0,0,3
138,0,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,50plus,Unmarried partner,1,Some college - no degree,Installation Maintenance & Repair,$12500 - $24999,3,1,2,2,1,0,1
139,1,No Urgent Place,Alone,Snowy,30,10AM,Restaurant(<20),1d,Male,21,Single,0,Bachelors degree,Student,$25000 - $37499,2,3,2,2,1,0,2
140,0,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,1,3,2,2,1,0,2
141,1,Work,Alone,Rainy,55,7AM,Carry out & Take away,1d,Female,50plus,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,0,1,2,2,2,0,1
142,0,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,50plus,Married partner,1,Associates degree,Legal,$100000 or More,1,0,4,3,2,0,3
143,1,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),1d,Male,31,Single,0,Bachelors degree,Education&Training&Library,$50000 - $62499,0,0,2,2,2,0,2
144,1,No Urgent Place,Alone,Sunny,80,10AM,Restaurant(<20),2h,Male,26,Single,0,Bachelors degree,Student,$12500 - $24999,1,4,4,4,1,0,1
145,0,Work,Alone,Sunny,55,7AM,Bar,1d,Female,below21,Single,0,Some college - no degree,Student,$100000 or More,0,2,3,3,2,0,3
146,0,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,21,Single,0,Bachelors degree,Student,$50000 - $62499,1,0,3,1,0,1,1
147,1,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,46,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,0,3,3,2,,0,1
148,1,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,0,2,4,3,1,0,2
149,0,Home,Alone,Snowy,30,10PM,Restaurant(<20),2h,Male,36,Single,0,Some college - no degree,Business & Financial,$37500 - $49999,0,1,4,4,0,0,3
150,0,Work,Alone,Snowy,30,7AM,Restaurant(<20),1d,Female,21,Single,0,Bachelors degree,Student,$25000 - $37499,0,0,1,0,0,0,2
151,1,No Urgent Place,Partner,Sunny,80,2PM,Coffee House,2h,Male,46,Unmarried partner,0,Some college - no degree,Transportation & Material Moving,$12500 - $24999,0,1,2,1,1,0,1
152,1,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,21,Unmarried partner,0,Some college - no degree,Unemployed,$12500 - $24999,2,1,2,2,1,0,2
153,1,No Urgent Place,Friend(s),Snowy,30,10PM,Carry out & Take away,1d,Female,36,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$12500 - $24999,0,2,1,2,3,0,2
154,0,No Urgent Place,Partner,Snowy,30,10AM,Restaurant(<20),1d,Female,41,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$87500 - $99999,2,2,3,3,2,0,1
155,1,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,21,Single,0,Some college - no degree,Student,Less than $12500,4,3,3,3,2,0,2
156,0,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,46,Single,0,Some college - no degree,Sales & Related,$25000 - $37499,0,0,2,1,1,0,2
157,1,Work,Alone,Snowy,30,7AM,Coffee House,1d,Female,21,Married partner,1,Some college - no degree,Sales & Related,$25000 - $37499,1,2,3,2,0,1,1
